공고명,회사명,대표자명,자본금,업종,주요사업내용,회사주소,모집직종,관련직종,직무내용,접수마감일,고용형태,모집인원,장애인채용인원,임금조건,경력조건,학력,키워드,외국어능력,전공,자격면허,병역특례채용희망,컴퓨터활용능력,우대조건,고용허가제,작업환경,기타우대사항,전형방법,접수방법,제출서류준비물,제출서류양식첨부,근무예정지,인근전철역,버스노선,근무형태,근무시간,연금사회보험,퇴직금지급방법,복리후생,장애인편의시설
"[주식회사윙잇][윙잇] 사옥 청소 미화원 장애인 특별 채용
			
		",주식회사윙잇,임승진,147백만원,그외기타광고관련서비스업,식품제조업자가온라인에서식품을판매,"(06223)서울특별시강남구테헤란로32길26,4층","건물청소원(공공건물,아파트,사무실,병원,상가,공장등)",-,담당하시게될업무예요ㆍ사무실청소담당자(1명)-회의실책상및바닥청소를부탁드려요.-사무실바닥청소를부탁드려요.ㆍ쓰레기및재활용(분리수거)관리담당자(1명)-각층에있는쓰레기를모으고재활용을사옥앞쓰레기수거지에놓아주세요.자격요건ㆍ장애인고용촉진등에관한법률에의거한고용대상자ㆍ거동및소통이가능하신분우대사항ㆍ청소및쓰레기처리업무를해보신분근로조건ㆍ1일4시간근무(월~금)-저녁담당(19시~23시)*근무시간은개인스케쥴에따라서협의가능해요.,채용시까지,기간의정함이있는근로계약12개월,"1명지원현황:총1명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:1명)",1명,"시급13,000원이상",경력(최소1년0개월이상)우대,학력무관,-,-,-,-,비희망,-,-,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:선택안함.양손사용:양손으로작업,-,"서류,면접",워크투게더,"이력서,기타(장애인등록증또는장애인증명서)※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시강남구테헤란로32길26,4층서울특별시강남구테헤란로32길26,4층",-,-,주5일근무,근무시간협의가능※상세근무시간(오전)6시00분~(오전)10시00분또는(오후)7시00분~(오후)11시00분*근무시간협의가능,국민연금고용보험산재보험의료보험,해당없음,-,-
"[씨제이프레시웨이주식회사]씨제이프레시웨이 주방보조 채용 (분당서울대병원점)
			
		",씨제이프레시웨이주식회사,정성필,-,기관구내식당업,구내식당,(17099)경기도용인시기흥구기곡로32(하갈동),주방보조원(일반음식점),-,"-직무내용:식기세척,미화,수저포장등-근무형태:계약직(12개월)-근무시간:근무시간협의가능(4~8시간)-임금:시급9620원-지원방법:이메일접수(sb513@kead.or.kr)**이력서첨부,이메일제목:씨제이프레시웨이_이름(OOO)기재바랍니다.[**이메일만접수가능,워크넷접수불가**]",2023년06월30일마감시간:24시(D-20),기간의정함이있는근로계약12개월,"4명지원현황:총2명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:2명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",4명,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,-,"방문,워크투게더,기타(sb513@kead.or.kr)",이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"경기도성남시분당구구미로173번길82,(구미동)경기도성남시분당구구미로173번길82,(구미동)",-,-,주5일근무,※상세근무시간협의가능주소정근로시간:40시간,-,퇴직금,-,-
"[(사)효드림아마윤장애인직업재활센터]2023년 아마윤 장애인직업재활센터 근로장애인 모집(1차)
			
		",(사)효드림아마윤장애인직업재활센터,하치윤,65백만원,직업재활원운영업,"자동차,전기,신발등임가공","(46628)부산광역시북구백양대로1102번길15,15-1(구포동)",전기·전자부품·제품조립원,제조단순종사원,"○모집분야:장애인○모집정보*모집기간:2023.06.07.~2023.07.06까지*모집인원:2명*근무지역:부산광역시북구구포동*근무형태:시간제*경력:무관*급여:2023년정부고시최저임금(직무평가후기준미만시최저임금적용제외신청)○지원자격1.분야및인원가.모집분야:근로장애인나.모집인원:2명다.내용:자동차부품,전기제품,신발제품임가공사업등2.응시자격가.「장애인복지법시행규칙」제4조에따른장애인으로등록된만18세이상60세이하나.일반사업체에취업이어려운지적,발달장애인등으로근로가가능한분다.대중교통을이용하여출·퇴근이가능한자마.일상생활에도움없이가능하며,공동생활에지장이없는분바.범죄및성폭력범죄,장애인,아동학대전력조회시결격사유자없는분사.운영규정및기타관련법령에명시된결격사유에해당되지않는분3.근무(이용)조건가.근무(이용)일자:협의후조정가능나.근무(이용)장소:부산광역시북구백양대로1102번길15,15-1다.근무(이용)시가:09:00~15:00시간(토·일및공휴일은휴무),(점심시간12:00~13:00)라.근로시간:(일5시간)마.급여조건:2023년최저임금적용(직무평가후기준미만시최저임금적용제외신청)사.기타사항:4대보험가업(해당자에한함),퇴직연금(1년이상근무),중식제공4.제출서류가.장애인증명서또는복지카드사본1부나.주민등록초본1부(최종합격자에한함)다.주민등록등본1부(최종합격자에한함)마.채용신체검사서1부(최종합격자에한함)사.개인정보제공동의서1부,*이력서제출시학교명,종교,사진,주민등록번호는미기재*증빙서류는생년월일만기재되도록뒷자리는마스킹처리하여제출하며,공고일이후발급된서류로제출5.전형방법가.서류전형후합격자에개별통보나.현장평가-서류전형합격자중현장평가에참여-평가기간:5일간(서류전형합격인원에따라평가일정은조정될수있음)-평가시간:09:00~15:00(5시간)(점심시간제외12:00~1300)다.최종합격자발표:최종합격자에게개별통보○유의사항-상기일정은시설의상황에따라변동될수있습니다.-제출하신서류는채용심사외에는사용하지않고비밀을보장합니다.-제출하신서류의허위사실및관련법령에의한결격사유가확인될시선발을취소할수있으며,적격자가없을시선발하지않을수있습니다.-기타문의사항은051-711-9598로연락주시길바랍니다.",채용시까지,기간의정함이없는근로계약(시간(선택)제),"2명지원현황:총3명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:3명)",2명중증장애인채용우대,"시급9,620원이상",관계없음,학력무관,-,-,-,-,비희망,-,고용촉진장려금대상자,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:일부서서하는일듣고말하기:듣고말하는작업거의없음시력:일상적인활동이가능한정도손작업:작은물품의조립작업양손사용:양손으로작업,-,"서류,면접","방문,워크투게더,이메일(개인회원로그인후조회가능)",기타(복지카드)※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,[기타서류양식]개인정보제공동의서.hwp[기타서류양식]입사지원서및자기소개서(근로장애인).hwp,"부산광역시북구백양대로1102번길15,15-1(구포동)부산광역시북구백양대로1102번길15,15-1(구포동)",부산2호선구명2번출구100M,"모라에서구포시장방향(구명역):1004번,46,127,128-1,169,169-1",주5일근무,1식,근무시간협의가능※상세근무시간(오전)09:00~15:00(점심시간12:00~13:00)휴게시간(12:00~13:00)주소정근로시간:25시간,국민연금고용보험산재보험의료보험,퇴직금,기타(채용후가입)
"[주식회사 다다익스][장애인인턴]고객.데이터 관리
			
		",주식회사 다다익스,박진우,23백만원,전자상거래소매중개업,와물운송주선업,"(08389)서울특별시구로구디지털로30길28,805호(구로동)",콜센터상담원(콜센터·고객센터·CS센터),-,"[장애인만채용]고객.데이터관리근무시간:월~금요일,일8시간(출.퇴근시간선택가능)근무기간:정규직(수습기간이후정규직전환)급여조건:면접후협의지원방법:이메일접수kcpd1006@naver.com,이력서,자기소개서,복지카드(앞.뒷면)-워크넷지원불가연락처02-3437-3163(취업알선:한국뇌병변장애인인권협회고용노동팀)채용절차:서류접수->사전인터뷰->실무진면접->최종합격우대조건:CS/CX관련경력1년이상협업툴및고객관리툴사용경험유짐배송.화물차중개에대한배경지식을갖추고있는자",2023년06월30일마감시간:24시(D-20),기간의정함이없는근로계약,"1명지원현황:총2명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:2명)",1명,"월급2,010,580원이상~2,010,580원이하:0%",관계없음,고졸,-,-,-,-,비희망,"문서작성(워드프로세스활용),기타(협업툴,고객관리툴)",-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접",워크투게더,"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시관악구낙성대로2,(봉천동)서울특별시관악구낙성대로2,(봉천동)",-,-,주5일근무,※상세근무시간09:00~18:00주소정근로시간:40시간,-,퇴직금,-,"장애인용주차장,장애인용승강기,건물내부경사로,장애인용화장실"
"[햇잎푸드주식회사]햇잎푸드 소스 소분 및 개량 생산보조 채용
			
		",햇잎푸드주식회사,김지현,-,기타식사용가공처리조리식품제조업,"소스제조공장,프랜차이즈업,음식점","(35240)대전광역시서구문예로73,(둔산동)B1()",식품분야단순종사원,-,[장애인만채용]-직무내용:각종소스소분및개량등-근무지:대전광역시중구산서로952-10(금동)-근무시간:14:00~18:00-고용형태:3개월계약직평가후정규직전환가능-접수방법:이력서(이메일:jh9977@kead.or.kr),2023년06월16일마감시간:24시(D-6),기간의정함이없는근로계약,"1명지원현황:총2명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:2명)",1명,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:20Kg이상의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도손작업:작은물품의조립작업양손사용:양손으로작업,-,-,"방문,워크투게더,기타(이메일지원(jh9977@kead.or.kr))",이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"대전광역시중구산서로952-10,(금동)대전광역시중구산서로952-10,(금동)",-,-,주5일근무,※상세근무시간07:00~14:00주소정근로시간:30시간,-,퇴직금,-,기타(장애인표준사업장시설)
"[창원노인일자리창출지원센터]2023년 창원노인일자리창출지원센터 사무보조(장애인)채용 재공고(~채용시마감)
			
		",창원노인일자리창출지원센터,조상현,-,그외기타비거주복지서비스업,노인일자리사업,"(51515)경상남도창원시성산구용지로96,하이페르1402호(중앙동)",전산자료입력원및사무보조원,-,시니어인턴십사업사무보조(전산등록등)및전화상담,채용시까지,기간의정함이있는근로계약(시간(선택)제)7개월,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"시급9,620원이상~9,620원이하",관계없음,학력무관,[장애인][사무보조][단기],-,-,기타:복지카드소지자,비희망,문서작성(워드프로세스활용),-,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:일부서서하는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:선택안함.양손사용:양손으로작업,-,"서류,면접","방문,우편","이력서,자기소개서,경력증명서,기타(가.응시원서1부–붙임자료참조나.이력서1부다.자기소개서1부라.주민등록초본1부마.자격면허증사본1부바.경력증명서사.개인정보제공동의서–붙임자료참조)※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",[기타서류양식](5.25)2023년시니어인턴십전담인력채용공고및서식.hwp,"경상남도창원시성산구용지로96,하이페르1402호(중앙동)경상남도창원시성산구용지로96,하이페르1402호(중앙동)",-,-,주5일근무,미제공,09:00~14:00휴게시간(12:00~13:00)주소정근로시간:20시간,국민연금고용보험산재보험의료보험,해당없음,-
"[(주)프러스엔지니어링]순천해룡산단근무-경영지원 사무보조원[일반사업체]모집[경증장애인만 채용]
			
		",(주)프러스엔지니어링,윤재섭,50백만원,그외기타상품전문도매업,산업용재화무역/선박부품/선박관련기술용,"(48060)부산광역시해운대구APEC로17,센텀리더스마크3806호(우동)",총무및일반사무원,-,"※반드시취업에의지가있으신분만지원하여주시기바랍니다.※실업급여등으로서류제출이필요하신이유로지원은하지말아주세요.[직무내용]공장지출결의서작성[비품,소모품,매입등]순천공장자금일보작성엔지니어출장자금내역작성상무님,사장님개인카드정리및파일링기타회계,경영지원업무비상연락망관리회사차량하이패스사용내역및차량운행일지정리화환배송주문우편물배부,발송등우편물관리[발송이불가능한경우발송은타부서이관]명함주문콤사검사신청도면스캔및인덱스처리,정리등문서고관리기타총무행정지원업무[필요기술]의사표현능력대인관계능력문제해결능력문서작업능력정보검색능력컴퓨터활용능력[MS오피스,한글등]법규,내규이해및활용능력및직업윤리[직무수행태도]관계자들을이해하고존중하는태도문제해결,논리적사고와신속한대응태도법규,내규이해및활용책임감을갖고대응하려는자세피드백수용성,개선의지안전의식및성실성세밀한업무처리[근무형태]6개월계약후업무에문제가없을경우정직원전환[근무시간]평일오전9:00~오후6:00[주5일근무/주40시간][급여]기본급[209시간]1,901,650+식대보조154,000+고정연장근로수당[3시간=4.5]44,260+연차수당78,690=2,178,600[세전][복리후생]4대보험,퇴직연금,명절선물,근로자의날휴무[필수사항]1.전문학사학위이상취득자및소지자이상2.남자의경우병역필또는면제자3.해룡산단안에있어교통이불편합니다.출퇴근가능하신분만지원해주세요.[우대사항]1.관련분야근무경력자2.일본어가능자3.장애인증명서첨부[제출서류]1.지원서및자기소개서(자율양식}2.졸업,성적증명서3.자격증사본(해당자)4.장애인증명서(해당자)[서류접수]1.이메일[123tax@naver.com][유의사항]1.미비된서류로인한불이익은당사에서책임지지않으며,제출된서류는반환하지않음2.지원서및증명서등제출한서류의기재내용이사실과다를경우채용을취소함3.적격자가없을경우선발하지않을수있음",채용시까지,기간의정함이있는근로계약6개월/계약기간만료후상용직전환검토,"1명지원현황:총1명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:1명)",1명,"월급2,178,600원이상~2,178,600원이하:0%",관계없음,학력무관,[경증장애인채용][내근직][총무경영지원][사무직][장애인근무가능],-,-,-,비희망,"문서작성(워드프로세스활용),표계산(스프레드시트활용),회계프로그램",-,-,작업장소:실내드는힘:선택안함.서거나걷기:선택안함.듣고말하기:듣고말하기중요시력:아주작은글씨를읽을수있는정도손작업:선택안함.양손사용:양손으로작업,-,"서류,면접","워크투게더,이메일(개인회원로그인후조회가능)","이력서,자기소개서,졸업증명서,경력증명서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"전라남도순천시해룡면해룡산단4로31,1층전라남도순천시해룡면해룡산단4로31,1층",-,-,주5일근무,중식비지급,09:00~18:00휴게시간(12:30~13:30)주소정근로시간:40시간,국민연금고용보험산재보험의료보험,퇴직연금,-
"[쿠팡풀필먼트서비스유한회사][쿠팡풀필먼트유한회사] 장애인 재택사무직 채용 (~6.11.(일) 오후 3시까지 접수)
			
		",쿠팡풀필먼트서비스유한회사,JOSEPHNATHHANNORTM,-,물류터미널운영업,물류서비스,"(05510)서울특별시송파구송파대로570,8층쿠팡풀필먼트서비스(신천동)",마케팅·광고·홍보·상품기획사무원,-,"1.업무내용1)모니터링:주제(공고등)별데이터수집및정리2)Call-전화업무:근무경험자,지원자,재직자등에게목적에맞춰응대및내용기록3)그외인사사무행정지원업무등2.근무장소:재택근무100%3.고용형태:최초1년계약,이후평가결과에따라추가1년,무기계약전환가능-최초1년계약시수습기간12주포함4.근무시간:평일4시간근무,희망하는근무조로맞춰근무가능1)Day조:9:30~14:00(쉬는시간30분)2)Mid조:13:00~17:30(쉬는시간30분)5.급여:세전월108만원6.복리후생:임직원단체상해보험(본인,가족대상),경조사지원,종합건강검진(재직1년이상),쿠팡캐시적립,명절쿠팡캐시지급,4대보험,퇴직금(1년이상근무시)등7.필요사항-겸업불가(월급외에다른수익발생불가)-연령:성년(정년만60세이하)이신분-개인PC(노트북또는데스크탑)가지고계신분-PC메신저를통한의사소통능력및기본적컴퓨터활용능력이있으신분(엑셀복사붙여넣기수준이상)8.면접일정:23-06-12(월)시간선택가능9.입사예정일:23-06-12(월)10.지원방법:폼즈https://forms.office.com/r/7fK2SgZWR1위링크로만접수가능",2023년06월11일마감시간:15시(D-1),기간의정함이있는근로계약12개월,"20명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",20명중증장애인채용우대,"월급1,030,000원이상~1,080,000원이하연봉기준:0%",관계없음,학력무관,-,-,-,-,비희망,"표계산(스프레드시트활용),기타(이메일사용)",-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접",기타(지원을희망하시는분은https://forms.office.com/r/7fK2SgZWR1로지원가능),이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"서울특별시송파구송파대로570,8층쿠팡풀필먼트서비스(신천동)서울특별시송파구송파대로570,8층쿠팡풀필먼트서비스(신천동)",-,-,주5일근무,미제공,"※상세근무시간4시간(평일,월~금)주소정근로시간:20시간",국민연금고용보험산재보험의료보험,퇴직금,-
"[에스씨케이(주)][장애인 채용/재택근무] 블로그 관리 담당자 2명 모집
			
		",에스씨케이(주),이남수,500백만원,그외기타분류안된사업지원서비스업,서비스,"(04797)서울특별시성동구아차산로11길18,6층608호(성수동2가)",마케팅·광고·홍보·상품기획사무원,-,"1.근무형태:재택근무2.업무내용-블로그포스팅3.근로조건-12개월계약직(업무평가후계약연장)-주5일근무(주말,공휴일휴무)-급여:1,010,100원-근로시간:일4시간(09:00~13:30)/휴게시간30분포함4.면접방법-대면or화상면접5.우대사항-포토샵능숙자6.소속:에스씨케이(주)",2023년06월22일마감시간:24시(D-12),기간의정함이있는근로계약(시간(선택)제)12개월,"2명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",2명중증장애인채용우대,"월급1,010,100원이상~1,010,100원이하:0%면접후결정가능",경력(최소1년0개월이상)우대,학력무관,-,-,-,-,비희망,문서작성(워드프로세스활용),-,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:서거나걷는일거의없음듣고말하기:듣고말하기중요시력:아주작은글씨를읽을수있는정도손작업:큰물품의조립작업양손사용:한손으로작업,-,"서류,면접",워크투게더,이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"서울특별시성동구아차산로11길18,6층608호(성수동2가)서울특별시성동구아차산로11길18,6층608호(성수동2가)",수도권2호선성수2번출구100M,-,주5일근무,미제공,근무시간협의가능09:00~13:30휴게시간(11:00~11:30)주소정근로시간:20시간,국민연금고용보험산재보험의료보험,퇴직금,-
"[에스씨케이(주)][장애인 채용 / 재택근무] 입사업무 보조원 2명 모집ㅇ
			
		",에스씨케이(주),이남수,500백만원,그외기타분류안된사업지원서비스업,서비스,"(04797)서울특별시성동구아차산로11길18,6층608호(성수동2가)",전산자료입력원및사무보조원,-,"1.근무형태:재택근무﻿2.직무1)인사관리-후보자이력서접수및파일관리-후보자채용절차및진행이력관리등2)근태관리-직원근로시간관리(출입기록,수당실적관리,근태관리등)3.지원자격-2년이상회사근무경험보유자-인사,재무,총무등사무업무경험자-MS-Office(워드,엑셀)사용및인사/재무등시스템사용경험자4.근로조건-12개월계약직(업무평가후계약연장)-주5일근무(주말,공휴일휴무)-급여:월1,500,000원이상-근로시간:일4시간,시간선택제5.면접방법-화상면접6.소속:에스씨케이(주)",2023년06월22일마감시간:12시(D-12),기간의정함이있는근로계약(시간(선택)제)12개월/계약기간만료후상용직전환검토,"2명지원현황:총6명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:6명)",2명,"월급2,000,000원이상~3,000,000원이하기본급기준:0%",경력(최소2년0개월이상)필수,학력무관,-,-,-,-,비희망,"문서작성(워드프로세스활용),기타(엑셀활용)",-,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:서거나걷는일거의없음듣고말하기:듣고말하기중요시력:아주작은글씨를읽을수있는정도손작업:큰물품의조립작업양손사용:한손으로작업,-,"서류,면접",워크투게더,이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"서울특별시성동구아차산로11길18,6층608호(성수동2가)서울특별시성동구아차산로11길18,6층608호(성수동2가)",수도권2호선성수1번출구100M,-,주5일근무,미제공,근무시간협의가능09:00~13:00주소정근로시간:20시간,국민연금고용보험산재보험의료보험,퇴직금,-
"[에스씨케이(주)][장애인 채용 / 재택근무] 자료 조사 업무 8명 모집
			
		",에스씨케이(주),이남수,500백만원,그외기타분류안된사업지원서비스업,서비스,"(04797)서울특별시성동구아차산로11길18,6층608호(성수동2가)",사무보조원(일반사업체),-,"1.근무형태:재택근무2.담당직무-포털(네이버,다음),SNS상에노출된기사및관련내용모니터링3.근로조건-12개월계약직(업무평가후계약연장)-급여:월1,010,100원-근로시간:주5일/일4시간(09:00~13:30or13:00~17:30)﻿4.면접방법-화상면접5.소속:에스씨케이(주)",2023년06월22일마감시간:12시(D-12),기간의정함이있는근로계약(시간(선택)제)12개월/계약기간만료후상용직전환검토,"8명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",8명,"월급1,010,100원이상~1,010,100원이하연봉기준:0%",경력(최소1년0개월이상)우대,초졸이하,-,-,-,-,비희망,"문서작성(워드프로세스활용),기타(엑셀활용)",-,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:서거나걷는일거의없음듣고말하기:듣고말하기중요시력:아주작은글씨를읽을수있는정도손작업:큰물품의조립작업양손사용:한손으로작업,-,"서류,면접",워크투게더,이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"서울특별시성동구아차산로11길18,6층608호(성수동2가)서울특별시성동구아차산로11길18,6층608호(성수동2가)",수도권2호선성수1번출구100M,-,주5일근무,미제공,근무시간협의가능09:00~13:30주소정근로시간:20시간,국민연금고용보험산재보험의료보험,퇴직금,-
"[남은자장애인자립생활센터]2023년 서울형 권리중심의 중증장애인맞춤형 공공일자리사업 시간제 참여자 1명 추가 모집
			
		",남은자장애인자립생활센터,조선희,-,그외기타비거주복지서비스업,비주거복지서비스,"(07807)서울특별시강서구공항대로164,710호(마곡동류마타워)",시민단체활동가,-,"1.권리중심공공일자리란?가.고용시장에서참여가어려운최중증장애인이우선적으로참여가능한맞춤형3대직무(장애인식개선,생활편의및권익개선,문화예술활동등창작활동)로구성된노동을통해사회의지속적변화를추구2지원자격및모집공고날자가.신청서모집기간2023.06.07일~2023.06.16일까지(총10일)>>2023.06.16(선정문자결과탈락자들도발송예정)문의전화:02-3664-0874및홈페이지를참고해주세요나.중증장애인근무기간:2023.06.20~12.31(7개월)직무내용:장애인식개선(직장내인식개선활동),장애인생활편의및권익개선(플로깅,도보길개선활동,UNCRPD피켓홍보),문화예술활동(미술(드로잉),포스터피켓제작,사진촬영)급여:1,005,290원,12월단축근무953,340원공고기간:2023.06.07~.06.1618시까지(10일/토,일포함)서울시에주민등록상거주하는만18세이상서울시등록미취업중증장애인(심한장애/구3급이상장애),중복장애인※최중증장애인및탈시설장애인우대최중증장애인이란?-중증장애인중에서장애인보조기구간활동보조인등도움없이는스스로일상생활을영위할수없거나,불편함을느껴사실상경제적활도의기회가거의없는장애의정도가극도로심한장애인-뇌병변장애인,척수장애인,근육장애인,언어및청각,시각등중복장애인-탈시설(준비)장애인:탈시설정책과연계-뇌병변장애인:종합점수X1점수또는활동지원인정점수기준을통한최중증장애인기준적용(고용율이가장낮은유형)-발달장애인중1급(이전장애등급제)기준※기초생활수급비및장애인연금이삭감될수있으니사전에확인바랍니다.",2023년06월16일마감시간:18시(D-6),기간의정함이있는근로계약7개월/계약기간만료후상용직전환검토,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명중증장애인채용우대,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:실내ㆍ외드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접","방문,우편,팩스,이메일(개인회원로그인후조회가능)",이력서(자사이력서양식)※자사이력서를제출서류양식에서다운로드받아작성후입사지원하시기바랍니다.※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,[자사이력서양식]1.참여신청서.hwp[자사이력서양식]2.개인정보이용및수집동의서.hwp[자사이력서양식]3.미취업사실확인서.hwp,"서울특별시강서구공항대로164,710호(마곡동류마타워)서울특별시강서구공항대로164,710호(마곡동류마타워)",수도권5호선마곡6번출구10M,-,주5일근무,미제공,13:00~17:30,국민연금고용보험산재보험의료보험,해당없음,-
