날짜,사건,추가 정보,기간
168,로마-게르만 전쟁,168년부터는 게르만족과의 게르마니아 전쟁이 발발해 이 과정에서 169년 공동 황제 루키우스가 죽었고 170년 봄부터 클라우디우스 프론토가 이끄는 로마군은 다키아 속주에서부터 북상해 대규모 공세를 감행해 게르만족들을 패주시켰으나 이 과정에서 프론토가 전사하고 로마군 2만 명이 포로가 된다. 그리고 270년만에 북부 방어선이 뚫려 게르만족들이 쳐들어오고 그 영향으로 4개 군단을 더 창설하기도 했다. 뒤이어 아프리카 속주에서는 마우리타니아인들이 반란을 일으켜 히스파니아까지 쳐들어오는 사태가 벌어지자 동생 피디우스 빅토리우스를 파견해 이를 진압했다. 172년부터 본격적인 제1차 게르마니아 전쟁이 발발해 빈과 베오그라드에서 동시에 공세를 감행했으나 도나우 강 건너에서 근위대가 대패하고 근위대장 빈덱스가 전사했으며 173년부터는 각개 격파 작전으로 바궈 지지부진한 전쟁 끝에 174년 강화가 성립되었다.,168 ~ 174
184,황건적의 난 발생,"한나라 말기에 농민들은 지나친 세금과 자연 재해, 북방 유목민의 잦은 침략으로 끼니조차 이을 수 없는 지경에 이르렀다. 농민들의 불만은 '농민이 잘 사는 세상을 만들자'는 기치를 내건 황건적의 난으로 폭발하였다.",0
186,하테페 화산 폭발,화산 폭발 지수(VEI) 7로 뉴질랜드에서 가장 큰 호수인 타우포 호수가 형성되었다.,0
208,적벽 대전,"적벽 대전(赤壁大戰 / 赤壁大戦)은 중국의 삼국 시대, 통일을 목표로 세력을 계속 팽창하던 조조에, 손권과 유비가 연합해 대항하여 양자강에서 벌어진 큰 전투이다.",0
220/12/11,"한 멸망,삼국시대","중국 후한이 멸망한 후 위(魏)ㆍ오(吳)ㆍ촉한(蜀漢) 등 삼국이 정립했던 시대. 220년 조조의 아들 조비(曺丕)는 후한의 헌제를 강압하여 제위를 양위하게 하고, 뤄양에 도읍하여 위국이라 칭하였다.",220/12/11 ~ 280/05/01
224,"파르티아 멸망,사산조 페르시아",사산 왕조는 아르다시르 1세가 세운 고대 이란 왕조이다. 페르시아 제국의 한 왕조라는 뜻으로 사산조 페르시아(사산 왕조 페르시아) 또는 사산조(사산 왕조)로 불리기도 하였다.,0
235,"로마,군인황제 시대",군인 황제 시대(軍人皇帝時代)는 기원후 235년부터 284년까지 로마 제국 각지의 군대(로마군)가 멋대로 황제를 폐립한 시대를 일컫는다.,235 ~ 284
249,키프리아누스 역병,"키프리아누스 역병으로 알려진 역병은 기원후 249년부터 262년까지 유행했으며, 에티오피아에서 발생한 뒤 북아프리카를 건너 로마 제국 동부를 거쳐 북쪽으로 스코틀랜드에 이르기까지 유럽 전역에 퍼졌다. 역병의 이름은 카르타고의 가톨릭 주교이자 이 비극을 목격하고 해석하여 기록으로 남긴 성 키프리아누스(Saint Cyprian)에서 따왔다. 그의 기록에 따르면 치사율은 25퍼센트에서 30퍼센트 정도였으며, 로마에서 발생한 사망자만 매일 5,000명에 달했다.",249 ~ 262
250,마야 문명,마야 문명(고전기),0
261,"신라,최초 김씨 왕","미추 이사금(味鄒 泥師今, ? ~ 284년, 재위 261년[1] ~ 284년)은 신라의 13번째 임금이며, 김씨로 임금이 된 첫째이다. 미조(未照) 혹은 미소(未召)라고도 한다. 김알지의 6대손으로 어머니는 지마 이사금의 손녀이자 이칠(伊柒) 갈문왕의 딸 박씨(朴氏)이며, 아버지는 김알지의 5대손(세한-아도-수류-욱보-) 구도(仇道)이다. 비는 석씨 광명부인(昔氏光明夫人)이다.",0
270,"일본,야마토 정권 수립","야마토 시대(大和時代)는 일본의 야마토 정권이 현재 나라 현의 아스카 촌을 중심으로 일본을 다스리던 국가 형성, 확립의 시대(250년~710년)이다. 고훈 시대와 아스카 시대를 합해서 일컫는다. 아직 일본이라는 국명을 사용하진 않았으며, 한국이나 중국에서는 왜(倭)라고 불렸다.",0
280,"진(晉),중국 통일",진(晉)이 오를 멸하고 중국 통일.,0
291,팔왕의 난,"중국 서진(西晉)의 제위 계승 문제를 둘러싼 황족들의 대결이 내란으로 번진 것을 말한다. 이 내란의 영향으로 서진은 멸망에 이르렀고, 이후 중국은 수나라가 전국을 통일할 때까지 무려 약 350년간 전란의 시대를 보내게 된다.",291 ~ 306
304,5호16국시대,"오호 십육국 시대(五胡十六國時代: 304~439)는 삼국을 통일한 서진(西晉)이 멸망한 후, 5개의 비한족을 비롯한 16개의 국가가 회수(淮水) 북부에 여러 나라를 세우며 난립하던 시대를 말한다.",304 ~ 439
311,"흉노,영가(永嘉)의 난",영가(永嘉)의 난. 흉노의 유총이 침공하여 낙양이 폐허.,0
313,"고구려,낙랑군 점령",313년에 미천왕이 낙랑을 공격하여 2천의 남녀를 포로로 잡았으며 장통이 일부 민호를 이끌고 요동의 모용씨(摹容氏)에게 투항함으로써 한반도에서 낙랑군은 축출되었다.,0
313,"밀라노 칙령,기독교 공인","콘스탄티누스, 동부황제 리키니우스와 회견하고 밀라노의 칙령을 공포하여 기독교 공인.",0
317,동진(東晉),"동진(東晉, 317년 - 420년)은 중국의 서진 왕조가 유연(劉淵)의 전조(前趙)에게 멸망한 후, 사마예에 의해 강남(江南)에 세워진 진(晉)의 망명 왕조이다. 서진과 구별하여 동진이라고 부른다.",317 ~ 420
320,"인도,굽타 왕조",320년부터 550년경까지 북(北)인도를 통일 ·지배한 왕조.,0
330,비잔티움제국 성립,"콘스탄티누스 황제는 제국의 수도를 옮겼으며, 사회와 종교 체제에 중요한 변화를 일으켰다. 기원후 330년 그는 비잔티움 땅에 콘스탄티노폴리스를 두 번째 로마로 삼아 천도하였는데, 이 곳은 동방과 서방 사이의 교역로 사이에 자리잡은 요충지였다.",0
346,"백제,근초고왕","근초고왕(近肖古王, ? ~375년, 재위 346년~375년)은 백제의 제13대 왕이다. 이름은 《진서(晉書)》에는 여구(餘句)[1], 《고사기》에는 조고왕(照古王), 《일본서기》에는 초고왕(肖古王), 《신찬성씨록》에는 속고왕(速古王)으로도 불린다. 근초고왕은 백제가 차츰 국가로서의 면모를 갖출 무렵 비류왕의 둘째 아들로 태어났다. 어려서부터 총명하고, 체격도 아주 크고 용감했기 때문에 둘째 아들이었지만, 차기 왕으로 지목되어 346년 계왕의 뒤를 이어 왕이 되었다. 고구려의 광개토대왕에 비길 만한 정복군주로 평가받고 있으며, 남쪽으로는 마한을 정복하여 백제의 영토를 전라도 지역까지 확장하고 북쪽으로는 평양 근처까지 진격하여 고구려의 고국원왕을 전사시켰다.",346 ~ 375
370,"훈족,흑해 북쪽에 등장","훈족, 흑해 북쪽에 등장.",0
375,게르만족의 대이동,"4세기 말 훈족(族)의 서진(西進)에 자극을 받은 게르만계의 여러 부족이 대규모로 로마제국의 영토 안으로 이주하고, 서로마제국의 멸망을 전후하여 제국 각지에 정착하면서 여러 부족왕국을 건설하였다. 게르만족의 이동은 6세기 말까지의 200여 년 동안 이루어졌다.",375 ~ 568
380,"로마,기독교를 국교로","콘스탄틴 대제의 주도하에 로마 제국은 313년에 밀라노 칙령으로 기독교에 대한 관용을 선포하여 박해를 끝내고 기독교를 로마의 합법적인 종교들 중의 하나로 만들어 사실상 기독교 신앙을 보호 또는 장려하였으며, 380년에 테오도시우스 1세에 의해 기독교는 공식적으로 국교로 공인되었다.",0
386,"선비족,북위 건국","북위(北魏: 386~534)는 중국 위진시대(220~420)에 선비족(鮮卑) 탁발부(拓跋部)에 의해 화북에 건국되어 남북조시대(439~589)까지 이어진 왕조이다. 국호가 위나라 였기에 전국시대 위(魏)나라와 삼국시대 조조의 위(魏)나라와 구별하기 위해 북위라고 불리고 있다. 기타 후위(後魏), 원(元)씨가 지배하였다 하여 원위(元魏), 대위(代魏)란 호칭을 사용하기도 한다.",0
391,"고구려,광개토왕 재위","고구려 19대 왕(재위 391∼412). 소수림왕의 정치적 안정을 기반으로 영토를 확장한 정복 군주이다. 한국 최초의 연호를 사용하였으며, 동예를 통합하고 동부여를 정벌하였다.",391 ~ 412
395,로마제국의 분열,"로마제국,동서 분열. 테오도시우스 1세가 큰아들 아르카디우스에게는 동로마를, 작은아들 호노리우스에게는 서로마를 통치하게 하다.",0
410,로마 약탈,"로마 약탈 (410년) (Sack of Rome)은, 서기 410년 8월 24일에 일어난 알라리크 1세가 이끄는 서고트족이 서로마 제국의 로마를 침공・함락시키고 시내를 약탈한 사건을 말한다.",0
420,"중국,남북조시대","남북조 시대(南北朝時代: 420~589)는 한족이 세운 남조와 유목민족이 세운 북조가 대립하다, 수나라가 통일할 때까지의 시기를 말한다.",420 ~ 589
427,"고구려,평양 천도",고구려 장수왕은 427년 국내성에서 평양으로 수도를 옮겼다. 이는 남쪽의 영토확장은 물론 국내성 중심의 귀족세력을 약화시키고 왕권을 강화하려는 목적이었다. 결국 고구려는 살기 좋은 평야 지대에 수도를 정함으로써 전성기를 맞게 되었다.,0
434,훈족 아틸라의 전쟁,"아틸라(406년-453년)는 훈족 최후의 왕이며 유럽 훈족 가운데 가장 강력한 왕이었다. 아틸라는 434년부터 죽을 때까지 8년정도 ,유럽에서 최대의 제국을 지배했으며, 그의 제국은 중부 유럽부터 흑해, 도나우 강부터 발트 해까지 이어졌다.",434 ~ 453
439,"북위,북중국 통일","도무제를 이은 명원제(明元帝)는 남조 송나라를 공격해 하남을 빼앗고, 명원제를 이은 태무제(太武帝)는 하(夏), 북연(北燕), 북량(北凉)을 차례로 멸망시켜,439년 화북을 통일하였다. 서역에서 조공을 바쳐오는 나라만 해도 20여개국에 이르니 북위의 국세는 크게 울려퍼졌다. 이때부터 중국은 남북조 시대로 들어서게 되었다.",0
475,"고구려,백제 한성 점령",백제가 중국 북위에 고구려 공격을 요청하자 고구려 장수왕은 475년 3만 군대를 보내 수도 한성을 점령하고 개로왕을 죽이는 등 맹공격을 퍼부었다. 개로왕에 이어 즉위한 문주왕은 수도를 웅진(熊津: 충남 공주)으로 옮겼으며 한강유역을 잃은 백제는 상당한 기간 동안 국력을 떨칠 수 없었다.,0
476,서로마제국 멸망,서로마제국은 게르만 민족의 끊임없는 침략으로 476년 게르만인 용병대장 오도아케르에게 멸망하였다.,0
481,프랑크왕국 성립,"프랑크 왕국은 5세기 말 게르만족의 한 부족인 프랑크족이 현재의 프랑스, 독일, 이탈리아를 아우르는 지역에 세운 왕국이다. 이 왕국은 현재의 독일, 프랑스, 이탈리아를 형성한 것으로 일반적으로 평가되고 있다. 프랑크 왕국은 비잔티움 제국의 유스티니아누스 1세가 이탈리아의 동고트족과 아프리카의 반달족을 격멸하고, 아랍인이 에스파냐의 서고트왕국을 제거한 와중에서 거의 유일하게 존속·확장한 게르만족의 정치체제였다.",0
533,유스티니아누스 정복전쟁,"유스티니아누스는 비잔티움 황제 중에서 가장 큰 군사적 업적을 이루었다. 그리스도인 황제로 그는 과거 로마 제국의 영토를 회복하는 데 큰 사명감을 가지고 있었다. 비록 본인이 직접 군사 원정에 참여하지는 않았지만 벨리사리우스, 나르세스 같은 당대의 명장들을 기용하여 정력적으로 영토를 회복하고 6세기 비잔티움 제국의 영토 확장을 이루었다.",533 ~ 555
536,535-536년 사건,535-536년 극단적인 기후 변화(?).,0
538,"백제,사비 천도","국력을 회복한 백제는 협소한 웅진을 벗어나 538년(성왕 16) 사비(부여)로 수도를 옮기고, 나라이름을 남부여라고 바꾸었다. 이때 22부의 중앙 관부와 수도의 5부, 지방의 5방ㆍ군ㆍ성 등 지배체제를 다진 것으로 보인다.",0
540,"신라,진흥왕 재위","진흥왕 때는 신라의 전성기였으며, 정복 군주로 불렸다. 고구려의 영토였던 원산만까지 진출한 흔적은 마운령비에서 알 수 있다.",540 ~ 576
541,유스티니아누스 역병,"541~750년 비잔틴 제국에서 유행한 ‘유스티니아누스 역병’은 14세기 흑사병과 같은 선(腺)페스트로, 북아프리카 에티오피아와 이집트에서 유럽으로 옮아갔다. 전염병이 최고조에 달했을 때에는 콘스탄티노플(현 이스탄불)에서만 하루에 1만명씩 숨졌다는 기록이 남아 있다.",541 ~ 542/12
550,"인도,굽타 왕조 멸망","서부 영역은 에프탈족에 의하여 잠식되고, 요충지인 에란도 6세기 초에 그 수중에 떨어졌다. 이리하여 6세기 초 굽타왕조는 거의 바라나시(베나레스) 이동(以東)으로 영역이 한정되었고, 이 지방의 정치적 ·경제적 중요성이 높아감에 따라 왕자를 지방장관에 임명하는 등 영역의 확보에 진력하였으나, 6세기 중엽 멸망하였다. 그리하여 북인도는 여러 지방지배자가 할거하여 통일제국은 붕괴되었다.",0
550,테오티우아칸 몰락(?),테오티우아칸의 몰락(?),0
552,돌궐제국 성립,"튀르크(Türk)의 음을 따서 한자화한 말로, 처음에는 철륵鐵勒의 한 부족으로 알타이산맥 방면에서 유연柔然에 소속되어 있었다. 그 중 한 씨족인 아사나씨의 족장 토문土門이 유연ㆍ철륵을 격파하고 독립하여 일리가한이라 칭하였다.",0
553,"신라,한강 유역 차지","553년 7월, 진흥왕은 백제의 한강 유역을 침략하여 여러 성을 빼았아, 신주(新州)를 설치하고 아찬 무력(武力)을 군주로 삼았다.",0
562,"신라,대가야 병합","신라는 진흥왕 때 체제정비, 국력강화 등 발전의 발판을 마련하였다. 특히 554년 백제의 한강 유역을 빼앗음으로써 세력을 확장한 신라는 대가야를 병합할 수 있었다. 대가야 공격시 소년 화랑 사다함은 큰 공을 세웠지만, 친구 무관랑이 전사하자 슬퍼하다 죽었다.",0
581,수(隋)나라,"수(隋, 581년 ~ 618년)는 중국 남북조 시대의 혼란을 진정시키고, 서진이 멸망한 후 분열되었던 중국을 약 300년 만에 재통일한 왕조이다. 그러나 2대 황제 양제 때 폭정(暴政)으로 인해 멸망하고, 그 후 약간의 혼란기를 거쳐 당나라가 중국을 재통일 하였다. 수도는 대흥성(大興城: 현재의 시안(長安))이었다.",581 ~ 618
602,비잔틴과 페르시아 전쟁(클라이막스),"당시 서쪽 세계의 양대 제국이던 비잔틴 제국과 사산조 페르시아가 벌인 대결 중 가장 치명적이고, 치열하고, 결정적이었던 전쟁이다. 602년부터 622년까지 사산조 페르시아의 군대는 아나톨리아 반도와 발칸 반도를 제외한 모든 비잔틴 제국의 영토를 유린했고, 아나톨리아 반도로 진군하여 626년에 콘스탄티노플을 포위하기도 하였다. 하지만 610년 10월에 비잔틴 제국 황제가 된 헤라클리우스 황제가 622년부터 626년 사이에 사산조 페르시아를 향한 성공적인 원정을 감행하고 627년에 사산조 페르시아의 심장부인 이라크 지역까지 침공함으로써 결정적인 반격에 성공한다. 결국 사산조 페르시아는 방어적인 입장에서 불리한 평화조약에 서명할 수 밖에 없었고, 전쟁은 비잔틴 제국의 승리로 종결된다.",602 ~ 628
612,"고구려,살수대첩","612년 수 양제는 113만 대군을 이끌고 요동으로 출병하였다. 수 양제는 내호아를 수군대장으로 임명하여 평양성으로 곧장 향하게 하고, 육군은 요동성으로 진격하였다. 그러나 요동성 군사들과 백성들의 끈임없는 저항으로 함락시키지 못하였다. 결국 수 양제는 우중문과 우문술을 각각 우장군과 좌장군으로 임명하여 30만의 별동대를 평양으로 직접 보냈다. 그러나 고구려의 을지문덕(乙支文德) 장군이 살수에서 큰 승리를 거두었다(살수대첩). 결국 수는 이 전쟁의 충격으로 멸망하였으며, 고구려도 국력에 막대한 손실을 입었다.",0
618,당,"당(唐 618년 ~ 907년)은 수나라(隋) 이후 건국된 중국의 황조이다. 당나라는 선비족 계열의 귀족인 이연(李淵)에 의해 세워졌다. 당시 전 세계에서 가장 강력한 국력을 자랑할 정도로 매우 번영했고, 정치와 경제와 문화 등 다방면적으로 완벽히 발달된 제국이었다. 현재까지도 역사상 가장 강력했던 대제국으로 평가받는다.",0
622/07/16,"이슬람교,헤지라",헤지라는 무함마드가 메카에서 메디나로 이주한 사건이다. 이슬람교의 기원(紀元) 원년.,0
630,"당,동돌궐 복속",당태종은 630년에 출병하여 동돌궐을 공격하였다. 당의 승리로 끝난 전투에서 실리 카간은 생포되어 장안으로 압송되었다. 여기서 동돌궐의 역사는 막을 내렸다. 동돌궐 세력의 소멸로 이제 당은 서돌궐과 접경하면서 새로운 중국-서역 관계가 성립되었다.,0
632/06/08,정통 칼리프 시대,"무함마드가 죽은 뒤, 아부 바크르, 우마르, 오스만, 알리 등 4명의 장로들이 교도(敎徒)의 총의에 의하여 잇따라 칼리프(후계자)로서 이슬람 교단을 통솔하던 시대를 말한다.",632/06/08 ~ 661
634,"이슬람,레반트 정복","이슬람, 레반트(현재의 시리아,요르단,팔레스타인,이스라엘,레바논) 정복",634 ~ 638
636/08/15,야르무크 전투,"야르무크 전투는 정통 칼리프 아랍 무슬림 세력과 비잔티움 제국간에 일어난 대전투이다. 이 전투는 서기 636년 8월에 갈릴리 해 남서쪽 오늘날의 시리아와 요르단 국경 사이 지대를 따라 난 야르무크 강 주변에서 6일간 벌어졌다. 야르무크 전투에서 무슬림은 완승하여 비잔티움 제국은 아나톨리아 남부의 지배권을 영영 잃게 된다. 이 전투는 전쟁사에서 결정적인 전투로 손꼽히며, 무함마드가 죽은 뒤 이슬람이 당시 기독교 세력이 지배하던 레반트로 급속히 진출할 것을 예고하며 무슬림의 정복 역사상 중요한 의의를 갖는다.",0
646,"왜,다이카 개신",다이카 개신(大化改新)은 일본 아스카 시대 고교쿠 천황 재임 중인 646년에 일어난 정치 개혁 운동이다.,0
651,"사산조 페르시아,이슬람에 멸망","동로마 제국과의 장기간에 걸친 전쟁으로 인해 사산 왕조의 세력은 쇠퇴했고, 이슬람화된 신흥 아랍족의 새로운 도전에 직면했다. 페르시아군은 유프라테스 강변에서 있었던 네하벤드 전투에서 크게 패하였고, 야즈데게르드 3세도 651년에 메르브 근처에서 암살되었다. 이로써 이슬람 이전의 이란 역사는 종말을 고하게 되었다.",0
660,백제 멸망,"백제 의자왕 때인 660년 신라와 당의 연합군에 의하여 백제가 멸망하였다. 황산벌에서 김유신이 이끄는 신라군에 의하여 백제의 5천 결사대가 패배하고, 금강 기벌포에서 당의 소정방이 이끄는 13만 대군에 의하여 백제군이 항복하였으며, 양군이 집결하여 사비성을 공격하였다. 7월18일 공격이 있은 지 열흘이 못 되어 백제는 항복함으로써 백제 건국 678년 만에 멸망하였다.",0
661,우마이야 왕조,"우마이야 왕조는 아랍 제국을 다스린 첫 번째 이슬람 칼리파 세습왕조이다. 우마이야 왕조는 중앙아시아, 북아프리카, 이베리아 반도에 이르는 넓은 영토를 장악했다.",661 ~ 750
663/08/27,백강 전투,"백강 전투(白江戰鬪, 일본어: 白村江の戦い 백촌강의 전투[*])는 663년 8월에 한반도의 백강(현재의 금강 부근)에서 벌여진 백제·왜의 연합군과 당·신라의 연합군 사이의 전투이다. 당·신라 연합군의 승리로 끝났다. 대륙에 당이 등장하여 동아시아의 세력 판도가 새롭게 바뀌는 가운데 일어났던 전쟁이며, 왜도 영토가 빼앗기지는 않았지만 국방체제·정치제제의 변혁이 일어났으며, 백제부흥군 활동이 종언을 고하게 되는 등 큰 영향을 미쳤다.",0
668,고구려 멸망,"백제가 멸망한 후 고구려에 대한 당의 공격에 버티고 있었던 고구려가 668년 평양성이 함락되면서 멸망하였다. 고구려는 내부 분열로 인해 힘이 약해지고 있었고, 666년 연개소문이 사망하자 구심점을 잃게 되어 666년 이후 요동성이 함락되고, 668년 9월 21일 평양성이 함락되면서 보장왕이 백기를 들게 되었다. 당은 고구려 점령 후 평양에 안동도호부를 설치하여 한반도를 지배하겠다는 야망을 서서히 펼쳤고, 이때부터 신라와 당의 투쟁이 시작되었다.",0
670/07,"당-토번,대비천 전투","대비천에서의 패배로 서역에서의 당나라 위상은 실추되었고, 가르친링은 여세를 몰아 670년에 당나라가 장악하고 있는 서역을 공격했다. 그 결과 당나라 안서도호부(安西都護府)에 속한 중요한 4개 도시인 안서사진(安西四鎭), 즉 카라샤르(焉耆)ㆍ쿠차(龜玆)ㆍ호탄(于闐)ㆍ카슈가르(疏勒)등의 주요 도시들이 토번의 영토가 되어 서역이 토번의 지배하에 놓이게 되었다. 국경의 완충지대였던 당의 속국 토욕혼도 사실상 멸망되어 수도 장안도 안전하지 않게 되었다. 또한 동아시아의 역학구조에도 변화가 왔는데 신라의 한반도 패권, 발해의 건국, 돌궐의 독립, 거란의 성장 등에 영향을 미쳤다고 볼 수 있다.",0
672/07/23,"왜,진신의 난","진신의 난(일본어: 壬申の乱 じんしんのらん)은, 서기 672년에 일어난 고대 일본사 최대의 내란이다. 덴지 천황의 태자 오오토모 황자에 맞서, 황제(皇弟) 오오아마 황자가 지방 호족들을 규합해 반기를 든 사건. 일본 역사에서 예외적으로 반란을 일으킨 측이 승리한 내란이었으며, 사건이 일어났던 서기 672년이 간지로 임신년(壬申年)에 해당되므로 간지의 이름을 따서 '진신의 난'이라 부른다. 진신란(壬申亂)으로도 칭한다.",0
674,"이슬람,콘스탄티노플 포위",이슬람 교도의 지중해지역 진출이 시작되었으며 마르말라해의 키지코스를 발판으로 거기에서 매년 반복되는 그들의 콘스탄티노플 포위공격(674~678)은 '그리스의 불'로 겨우 격퇴되었다. 그 후 비잔티움제국은 이슬람 제국의 칼리프와 30년간의 휴전협정을 맺었다.,674 ~ 678
676/02/25,"신라,삼국통일",평양에 있던 당의 안동도호부가 요동으로 옮겨가고 신라는 676년 당의 세력을 대동강 이북으로 밀어냄으로써 삼국을 통일하게 되었다.,0
683,돌궐이 당에서 독립,돌궐이 당에서 독립.,0
698,"대조영,발해 건국","고구려 멸망 이후 당의 지배에 저항해 온 고구려 유민들은 말갈인과 연합하여 당을 격파하고 동모산에 정착하였다. 거란인 이진충의 당 영주성 습격으로 당이 약해져 있을 때, 고구려 장수 대조영은 말갈족과 함께 당을 벗어났고 이를 추격하던 당과 천문령전투에서 대승리함으로써 당의 추격을 물리치고 발해를 건국하게 되었다.",0
711,"이슬람,이베리아 반도 정복","서고트 왕국이 711년 이슬람 우마이야(옴미아드) 왕조의 침입으로 붕괴된 후, 1492년까지 약 800년간 이베리아 반도는 이슬람의 영토였습니다.",0
717,"비잔틴,콘스탄티노플 방어",레오 3세가 즉위한 717년 여름 마슬라마가 이끄는 아랍의 8만 대군이 콘스탄티노폴리스를 포위했다. 레오는 이미 제위에 오른 직후부터 이슬람의 침공에 대비하여 이를 잘 막아내었다. 이슬람군은 1년 동안 육상과 해상을 포위하여 공격했으나 난공불락의 성은 결코 함락되지 않았다. 해전에서는 비잔티움의 유명한 그리스 화약으로 이슬람 함대를 공격했고 역사상 유례가 없었던 혹독한 겨울의 추위는 포위군을 괴롭혔다. 급기야 일부 아랍의 함대가 전선에서 이탈하고 트라키아에 주둔한 이슬람군을 불가르족이 공격해오자 아랍군은 포위를 풀어야만 했다. 용의주도한 레오의 공성전의 승리로 아랍인들은 유럽으로 진출하지 못하게 되었고 레오는 훌륭한 황제라는 평을 얻었다.,717 ~ 718
732,투르-푸아티에 전투,투르-푸아티에 전투는 732년 프랑크 왕국 메로빙거 왕조의 궁재인 카를 마르텔이 프랑스 투르와 푸아티에에서 옴미아드 왕조의 이슬람군을 무찌른 전투로 이 전투의 승리로 이슬람 세력의 서유럽 확장은 한풀 꺾였다.,0
735/08,덴표 역병,"덴표 역병(天平の疫病大流行, 덴표 역병대유행)은 일본에서 발생한 천연두의 유행을 지칭한다. 일본 전체 인구의 약 1/3을 죽였으며, 전국에 걸쳐 사회적, 경제적, 종교적 영향을 미쳤다. 735-737년 일본의 천연두 유행이라 부르기도 한다.",735/08 ~ 737/08
740,아크로이논 전투,동로마 황제인 레오 3세는 공세로 돌아서서 군을 이끌고 아랍군과의 대규모 결전을 준비하였고 지금의 터키 동부 아피온카라히사르(아크로이논)에서 2만의 아랍군과 마주쳤다. 이 싸움에서 동로마군은 대승을 거두고 움마이야 왕조의 급격한 약화를 틈 타 터키 동부까지 영토를 늘렸다. 그러나 이 시점에서 움마이야 왕조는 이미 지는 해였다. 얼마 지나지 않아 종교분쟁이 일어났고 움마이야 왕조는 750년에 망하고 그 자리에 아바시드 왕조가 들어섰다.,0
744,"동돌궐, 위구르에 멸망",투르크계 위구르가 동돌궐을 굴복시키고 동서 교통로를 장악.,0
750,아바스 왕조,"우마이야조의 뒤를 이어 750∼1258년에 동방 이슬람 세계를 지배한 칼리프조(750~1258). 13세기 중엽까지 명백을 유지했으나 아바스가의 칼리프가 종교와 정치 양면에서 최고의 지도자 권력자로서 군림한 것은 945년까지이고, 그 이후는 정치상의 실권이 거의 없었다.",0
751,탈라스 전투,"탈라스 전투 (Battle of Talas)는 751년 7월~8월사이 고구려 출신 당나라 장수 고선지장군이 지휘하는 당나라군과 동맹군 티베트가 압바스 왕조, 카르룩 연합군을 상대로 지금의 카자흐스탄 영토인 타쉬겐트 부근 탈라스 강 유역에서 중앙아시아의 패권을 두고 싸운 전투였다.",0
755,"당,안사의 난",중국 당(唐)나라 중기에 안녹산(安祿山)과 사사명(史思明) 등이 일으킨 반란(755∼763).,755 ~ 763
771,"샤를마뉴,프랑크왕국 통일",카롤링거왕조의 제2대 프랑크 국왕(재위768~814)으로 카를대제 또는 카롤루스대제라고도 한다. 부왕 피핀이 죽은 뒤 동생 카롤만과 왕국을 공동통치하였으나 771년에는 동생 역시 죽어 단일 통치자가 되었다. 서유럽의 정치적 통일을 달성하였다.,0
793,바이킹의 대이동,바이킹의 대이동.,793 ~ 1066/09/25
819,"신라,전국 곳곳에서 민란","신라,전국 곳곳에서 민란.",0
828,"장보고,청해진 설치","완도 출신 장보고는 당의 장교로 있다가 신라로 돌아와 당의 해적이 신라인을 납치해 노비로 팔지 못하도록 청해진을 설치하자고 하였다. 장보고는 828년 지방민 1만 명을 뽑아 청해진을 신설, 해적을 쫓아내고 서해무역을 주도하였다.",0
840,위구르 카간국 멸망,"832년 전염병이 휩쓸어서 위구르에게 큰 타격을 입었다. 결국, 투르크계인 키르기스 족이 쳐들어오자 840년 결국 멸망하였다. 그러나 일부 위구르족들은 서진(西進)하여 4~5개의 위구르왕국을 건설하였다.",0
843,프랑크왕국 분열,"베르됭 조약(Treaty of Verdun)은 843년 카를 대제의 손자인 루트비히 경건왕의 세 아들이 카롤링거 제국을 세 왕국(동 프랑크 왕국, 중 프랑크 왕국, 서프랑크 왕국)으로 분할하는 조약이다. 이 조약으로 카를 대제가 세운 제국은 해체되기 시작했으며 서유럽의 세 근대국가(프랑스, 독일, 이탈리아)의 모태가 탄생하였다.",0
862,"바이킹,노브고로트 점령(러시아 기원)","후기 러시아인이 남긴 연대기에 의하면, 862년 노르만인 류리크가 교역도시 노브고로트의 공이 되었고 류리크의 일족이 동슬라브인의 거주지역으로 지배를 하러 가는 과정에서, 동슬라브인 사이에서 몇 개의 국가가 형성되기 시작했다. 이러한 나라들이 있던 이 지역은 류리크가 속하는 부족 루스인의 이름을 따서 루시로 불리게 되었지만, 루시라고 하는 명칭이 후에 러시아라고 하는 국명의 어원이다.",0
875,"당, 황소의 난",중국 당 말기에 일어난 대농민반란. 당 말기 희종(僖宗)의 건부(乾符)~중화(中和) 연간(875~884)에 일어났다. 당 말기에는 지방 번진의 세력이 흔들리고 있다.,875 ~ 884
882,키예프 대공국 성립,키예프대공(大公)이 지배한 시대(9∼13세기)의 러시아.,0
892,후삼국 시대,"후삼국 시대(後三國時代, 892년~936년)는 892년 견훤이 광주를 점령하고 왕을 칭한 때부터 936년 고려가 한반도를 통일하기까지의 시기를 가리킨다.",892 ~ 936
895,마자르족의 유럽 침공,마자르족의 유럽 침공.,895 ~ 955
900,마야 문명의 몰락,"마야 문명의 몰락(고전기, 250~900)",0
